cell,longtitude,latitude
105878,-111.8226402,33.4222685
76766,-112.063219,33.556467
103964,-111.869175,33.229066
74324,-111.649612,33.2342
10398,-111.587411,33.23839
42489,-111.634519,33.24467
8393,-111.634519,33.24567
61013,-111.634519,33.24467
73934,-111.6342993,33.2486638
93806,-111.63,33.25
11958,-111.854082,33.259153
6053,-111.847923,33.259838
38690,-112.187057,33.276562
31438,-111.724926,33.278519
48841,-111.825197,33.282264
24468,-111.987279,33.283432
12043,-111.687473,33.285379
167,-111.686771,33.285712
44600,-111.68799,33.28598
11881,-111.830566,33.290688
79700,-111.951629,33.29415
94157,-111.900696,33.300018
81664,-111.856919,33.300022
18357,-111.896272,33.301026
46374,-111.840829,33.303385
55372,-111.840829,33.304385
25791,-111.840829,33.303385
49049,-111.840829,33.304385
52244,-111.840829,33.303385
91185,-112.011202,33.303529
66687,-112.035749,33.30573
63769,-111.8412502,33.3061605
14616,-111.8412502,33.3071605
98694,-111.8412502,33.3061605
91852,-111.8412502,33.3071605
105768,-111.8412502,33.3061605
32606,-111.8412502,33.3071605
15868,-111.8412502,33.3061605
68624,-111.8412502,33.3071605
71804,-111.8412502,33.3061605
89290,-111.8412502,33.3071605
4072,-111.8412502,33.3061605
32921,-111.8412502,33.3071605
26894,-111.8412502,33.3061605
13446,-111.8412502,33.3071605
95092,-111.8412502,33.3061605
39469,-111.8412502,33.3071605
17860,-111.8412502,33.3061605
4451,-111.8412502,33.3071605
25779,-111.8412502,33.3061605
20411,-111.8412502,33.3071605
32597,-111.8412502,33.3061605
52422,-111.8412502,33.3071605
87514,-111.8412502,33.3061605
68474,-111.8412502,33.3071605
72416,-111.8412502,33.3061605
89861,-111.8412502,33.3071605
61046,-111.8412502,33.3061605
61318,-111.8412502,33.3071605
48358,-111.8412502,33.3061605
101218,-111.8412502,33.3071605
7994,-111.8412502,33.3061605
37750,-111.8412502,33.3071605
38953,-111.8412502,33.3061605
16826,-111.8412502,33.3071605
45955,-111.8412502,33.3061605
37706,-111.8412502,33.3071605
34671,-111.8412502,33.3061605
65495,-111.8412502,33.3071605
42340,-111.8412502,33.3061605
9582,-111.8412502,33.3071605
66532,-111.8412502,33.3061605
79688,-111.8412502,33.3071605
36479,-111.8412502,33.3061605
103371,-111.8412502,33.3071605
45056,-111.8412502,33.3061605
40176,-111.8412502,33.3071605
92257,-111.8412502,33.3061605
2795,-111.8412502,33.3071605
100440,-111.8412502,33.3061605
415,-111.8412502,33.3071605
73696,-111.8412502,33.3061605
9639,-111.8412502,33.3071605
22455,-111.8412502,33.3061605
31297,-111.8412502,33.3071605
23494,-111.8412502,33.3061605
81941,-111.8412502,33.3071605
77254,-111.8412502,33.3061605
9108,-111.8412502,33.3071605
59177,-111.8412502,33.3061605
66849,-111.8412502,33.3071605
73179,-111.8412502,33.3061605
69238,-111.8412502,33.3071605
100294,-111.8412502,33.3061605
34590,-111.887918,33.30732
43366,-111.774521,33.31015
19184,-111.839615,33.313461
105278,-111.895563,33.317176
25512,-111.963806,33.317963
100320,-111.876755,33.320892
89116,-111.937054,33.322798
40066,-111.73233,33.327461
86989,-111.789767,33.329042
42033,-111.789767,33.330042
83536,-111.789767,33.329042
30579,-111.789767,33.330042
1462,-111.789767,33.329042
31781,-111.789767,33.330042
29177,-111.789767,33.329042
51814,-111.789767,33.330042
91250,-111.789767,33.329042
55374,-111.789767,33.330042
65447,-111.789767,33.329042
78059,-111.789767,33.330042
3169,-111.789767,33.329042
12701,-111.789767,33.330042
73063,-111.789767,33.329042
17674,-111.789767,33.330042
74960,-111.789767,33.329042
98791,-111.789767,33.330042
95475,-111.789767,33.329042
35118,-111.789767,33.330042
88440,-111.789767,33.329042
102672,-111.728042,33.3299
93995,-111.875369,33.334712
52533,-111.815457,33.337038
94562,-111.7900074,33.337364
102992,-111.98333,33.34167
13079,-111.969178,33.342699
26098,-111.737901,33.346182
107624,-111.85601,33.349762
31431,-111.868569,33.351196
37537,-111.789027,33.3528264
39089,-111.789027,33.3538264
62803,-111.789027,33.3528264
97363,-111.789027,33.3538264
105125,-111.789027,33.3528264
47181,-111.789027,33.3538264
80697,-111.789027,33.3528264
56098,-111.789027,33.3538264
72789,-111.789027,33.3528264
12887,-111.789027,33.3538264
1832,-111.789027,33.3528264
101198,-111.789027,33.3538264
9543,-111.789027,33.3528264
44734,-111.789027,33.3538264
90461,-111.700632,33.356547
71107,-111.810472,33.357752
96558,-111.876633,33.362438
89652,-112.168611,33.362778
